names
Βενιζέλος Ευάγγελος Βασιλείου
Θεοδωράκης Σταύρος Παναγιώτη
Σαρίδης Ιωάννης Γεωργίου
Μάρδας Δημήτριος Χρυσοβέργη
ΒαρδαλήςΑθανάσιος Δημητρίου
Λαζαρίδης Γεώργιος Ιωάννη
Φωκάς Αριστείδης Χρήστου
Νυφούδης Νικόλαος Σταύρου
Μαντάς Χρήστος Κωνσταντίνου
Καραγιάννης ΙωάννηςΚωνσταντίνου
Εμμανουηλίδης Δημήτριος Ιωάννη
Μορφίδης Κωνσταντίνος Ανέστη
Παπαφιλίππου Γεώργιος Αντωνίου
Κατσαβριά Σιωροπούλου ΧρυσούλαΑθανασίου
Βράντζα Παναγιώτα Αχιλλέως
Βάκη Φωτεινή Γεωργίου
Παυλίδης Κωνσταντίνος Κωνσταντίνου
Αϊβατίδης Ιωάννης Γεωργίου
Θεοπεφτάτου Αφροδίτη Χρήστου
Παραστατίδης Θεόδωρος Σωκράτη
ΧατζησάββαςΧρήστος Κωνσταντίνου
Δημητριάδης Δημήτριος Κλεάνθη
Μουμουλίδης Θεμιστοκλής Σταματίου
Θεοφύλακτος Ιωάννης Γαβριήλ
Ντζιμάνης Γεώργιος Δημητρίου
Κασαπίδης Γεώργιος Δημοσθένη
Θελερίτη Μαρία Παναγιώτη
Τσόγκας Γεώργιος Παύλου
ΣυρίγοςΑντώνιος Δημητρίου
ΜανιόςΝικόλαοςΕμμανουήλ
Γρηγοράκος Λεωνίδας Γεωργίου
Παπαδόπουλος Νικόλαος Αβραάμ
ΜπαργιώταςΚωνσταντίνος Αθανασίου
Κατσιαντώνης Γεώργιος Νικολάου
Πάλλης Γεώργιος Ευστρατίου
Τάσσος Σταύρος Τάσσου
ΜπαλλήςΣυμεώνΓεωργίου
Ηλιόπουλος Παναγιώτης Κωνσταντίνου
Στεργίου Κωνσταντίνος Ελευθερίου
Κοζομπόλη ΑμανατίδηΠαναγιώταΓεωργίου
Κωνσταντινέας ΠέτροςΝικολάου
Κουκούτσης Δημήτριος Νικολάου
Γιαννακίδης Ευστάθιος Αλεξάνδρου
Στογιαννίδης Γρηγόριος	 Κωνσταντίνου
ΣηφάκηςΙωάννης Γεωργίου
Σαχινίδης Ιωάννης Ισαάκ
ΤζαμακλήςΧαρίλαος Γεωργίου
Καστόρης	 Αστέριος	 Νικολάου
Κουκοδήμος Κωνσταντίνος Γεωργίου
Μουσταφά Μουσταφά Μεμέτ
Καρά Γιουσούφ Αϊχάν Μεμέτ
ΣεβαστάκηςΔημήτριος Αλεξίου
Σταμπουλή Αφροδίτη Αποστόλου
Κόλλια Τσαρουχά Μαρία Ευστρατίου
Μεγαλομύστακας	 Αναστάσιος	 Χρήστου
Δριτσέλη Παναγιώτα Ιωάννη
ΣιμορέληςΧρήστος Βασιλείου
Καραναστάσης ΑπόστολοςΔημητρίου
Βέττας ΔημήτριοςΦωτίου
Μιχελής	 Αθανάσιος	 Ιωάννη
ΣέλτσαςΚωνσταντίνος Δημητρίου
ΚωστοπαναγιώτουΗλίαςΚωνσταντίνου
Ιγγλέζη Αικατερίνη Θεοδώρου
Βλάχου	 Σωτηρία	 Ιωάννη
Σταθάκης Γεώργιος Μηνά
